ensembl_gene_id	count
ENSMUSG00000102693	7
ENSMUSG00000064842	3
ENSMUSG00000051951	132
ENSMUSG00000102851	12
ENSMUSG00000103377	63
ENSMUSG00000104017	46
ENSMUSG00000103025	35
ENSMUSG00000089699	13
ENSMUSG00000103201	27
ENSMUSG00000103147	6
ENSMUSG00000103161	28
ENSMUSG00000102331	48
ENSMUSG00000102348	14
ENSMUSG00000102592	12
ENSMUSG00000088333	0
ENSMUSG00000102343	16
ENSMUSG00000102948	10
ENSMUSG00000025900	74
ENSMUSG00000104123	25
ENSMUSG00000025902	33
ENSMUSG00000104238	36
ENSMUSG00000102269	78
ENSMUSG00000096126	3
ENSMUSG00000103003	7
ENSMUSG00000104328	35
ENSMUSG00000102735	29
ENSMUSG00000098104	3
ENSMUSG00000102175	11
ENSMUSG00000088000	2
ENSMUSG00000103265	23
ENSMUSG00000103922	7
ENSMUSG00000033845	187
ENSMUSG00000102275	11
ENSMUSG00000025903	218
ENSMUSG00000104217	0
ENSMUSG00000033813	245
ENSMUSG00000062588	14
ENSMUSG00000103280	20
ENSMUSG00000002459	117
ENSMUSG00000091305	7
ENSMUSG00000102653	27
ENSMUSG00000085623	85
ENSMUSG00000091665	19
ENSMUSG00000033793	413
ENSMUSG00000104352	21
ENSMUSG00000104046	10
ENSMUSG00000102907	22
ENSMUSG00000025905	70
ENSMUSG00000103936	3
ENSMUSG00000093015	9
ENSMUSG00000103519	24
ENSMUSG00000033774	20
ENSMUSG00000103090	4
ENSMUSG00000025907	392
ENSMUSG00000090031	67
ENSMUSG00000087247	3
ENSMUSG00000103355	4
ENSMUSG00000102706	1
ENSMUSG00000103845	27
ENSMUSG00000033740	146
ENSMUSG00000103329	30
ENSMUSG00000104385	11
ENSMUSG00000102135	3
ENSMUSG00000103282	0
ENSMUSG00000102534	4
ENSMUSG00000102213	2
ENSMUSG00000103629	14
ENSMUSG00000051285	442
ENSMUSG00000098201	4
ENSMUSG00000103509	129
ENSMUSG00000048538	8
ENSMUSG00000103709	16
ENSMUSG00000077244	1
ENSMUSG00000102768	8
ENSMUSG00000097797	60
ENSMUSG00000103498	17
ENSMUSG00000103067	46
ENSMUSG00000102320	11
ENSMUSG00000104226	20
ENSMUSG00000103903	5
ENSMUSG00000103557	8
ENSMUSG00000025909	138
ENSMUSG00000102647	13
ENSMUSG00000086235	6
ENSMUSG00000102253	43
ENSMUSG00000093970	10
ENSMUSG00000103884	0
ENSMUSG00000084353	3
ENSMUSG00000103933	3
ENSMUSG00000076135	0
ENSMUSG00000086195	3
ENSMUSG00000104504	4
ENSMUSG00000066693	21
ENSMUSG00000102316	23
ENSMUSG00000103819	9
ENSMUSG00000102871	46
ENSMUSG00000101571	27
ENSMUSG00000104428	17
ENSMUSG00000102272	11
ENSMUSG00000065625	1
ENSMUSG00000103411	16
ENSMUSG00000061024	111
ENSMUSG00000025911	128
ENSMUSG00000079671	89
ENSMUSG00000081441	22
ENSMUSG00000067879	63
ENSMUSG00000099827	39
ENSMUSG00000025912	93
ENSMUSG00000045210	294
ENSMUSG00000097893	90
ENSMUSG00000025915	513
ENSMUSG00000046334	13
ENSMUSG00000088916	4
ENSMUSG00000046101	106
ENSMUSG00000098234	36
ENSMUSG00000093178	0
ENSMUSG00000099032	36
ENSMUSG00000104025	17
ENSMUSG00000025916	26
ENSMUSG00000087199	30
ENSMUSG00000095780	2
ENSMUSG00000025917	282
ENSMUSG00000056763	532
ENSMUSG00000102356	13
ENSMUSG00000102638	25
ENSMUSG00000067851	901
ENSMUSG00000088153	16
ENSMUSG00000102556	14
ENSMUSG00000042501	135
ENSMUSG00000103810	51
ENSMUSG00000083422	13
ENSMUSG00000094979	1
ENSMUSG00000081417	2
ENSMUSG00000103448	17
ENSMUSG00000100212	5
ENSMUSG00000100648	4
ENSMUSG00000088585	0
ENSMUSG00000048960	237
ENSMUSG00000077318	0
ENSMUSG00000101827	21
ENSMUSG00000103494	49
ENSMUSG00000057715	104
ENSMUSG00000103825	17
ENSMUSG00000099845	8
ENSMUSG00000103561	18
ENSMUSG00000101610	17
ENSMUSG00000093864	3
ENSMUSG00000098555	0
ENSMUSG00000097628	41
ENSMUSG00000098163	8
ENSMUSG00000097171	12
ENSMUSG00000101314	8
ENSMUSG00000016918	759
ENSMUSG00000025938	1070
ENSMUSG00000104518	7
ENSMUSG00000069620	18
ENSMUSG00000099498	17
ENSMUSG00000042414	61
ENSMUSG00000005886	749
ENSMUSG00000103506	31
ENSMUSG00000103495	61
ENSMUSG00000099183	3
ENSMUSG00000102639	12
ENSMUSG00000104170	36
ENSMUSG00000087782	4
ENSMUSG00000103085	91
ENSMUSG00000102664	50
ENSMUSG00000101476	8
ENSMUSG00000101171	19
ENSMUSG00000025935	299
ENSMUSG00000025937	50
ENSMUSG00000102982	39
ENSMUSG00000067813	47
ENSMUSG00000077368	4
ENSMUSG00000097711	24
ENSMUSG00000102166	77
ENSMUSG00000089358	2
ENSMUSG00000104209	34
ENSMUSG00000025932	607
ENSMUSG00000095853	6
ENSMUSG00000102588	8
ENSMUSG00000054493	190
ENSMUSG00000025930	408
ENSMUSG00000103492	63
ENSMUSG00000081201	1
ENSMUSG00000082193	16
ENSMUSG00000032769	99
ENSMUSG00000088159	0
ENSMUSG00000073737	12
ENSMUSG00000092083	223
ENSMUSG00000102937	32
ENSMUSG00000104149	16
ENSMUSG00000088829	4
ENSMUSG00000077377	1
ENSMUSG00000101652	6
ENSMUSG00000100814	1
ENSMUSG00000025925	105
ENSMUSG00000104379	54
ENSMUSG00000032719	53
ENSMUSG00000088943	12
ENSMUSG00000100652	12
ENSMUSG00000067795	31
ENSMUSG00000043716	2823
ENSMUSG00000025921	267
ENSMUSG00000104165	21
ENSMUSG00000100868	50
ENSMUSG00000025920	327
ENSMUSG00000089982	28
ENSMUSG00000025939	156
ENSMUSG00000102457	34
ENSMUSG00000079658	277
ENSMUSG00000097744	20
ENSMUSG00000100959	3
ENSMUSG00000025940	150
ENSMUSG00000025779	16
ENSMUSG00000100093	36
ENSMUSG00000091020	63
ENSMUSG00000101640	42
ENSMUSG00000104133	8
ENSMUSG00000042686	602
ENSMUSG00000100110	30
ENSMUSG00000025777	135
ENSMUSG00000099899	25
ENSMUSG00000100272	13
ENSMUSG00000100398	8
ENSMUSG00000101589	56
ENSMUSG00000102048	8
ENSMUSG00000089534	2
ENSMUSG00000067780	47
ENSMUSG00000100053	73
ENSMUSG00000085125	56
ENSMUSG00000025776	51
ENSMUSG00000099895	13
ENSMUSG00000100554	10
ENSMUSG00000099473	4
ENSMUSG00000099591	16
ENSMUSG00000102001	2
ENSMUSG00000101717	3
ENSMUSG00000025774	39
ENSMUSG00000070977	7
ENSMUSG00000073735	1
ENSMUSG00000067773	8
ENSMUSG00000101685	15
ENSMUSG00000101738	14
ENSMUSG00000101306	15
ENSMUSG00000088800	2
ENSMUSG00000101644	14
ENSMUSG00000099433	5
ENSMUSG00000089787	27
ENSMUSG00000042596	43
ENSMUSG00000100720	13
ENSMUSG00000025927	84
ENSMUSG00000100538	6
ENSMUSG00000101117	12
ENSMUSG00000100204	54
ENSMUSG00000084668	6
ENSMUSG00000102597	42
ENSMUSG00000077860	1
ENSMUSG00000043760	383
ENSMUSG00000104095	18
ENSMUSG00000089914	14
ENSMUSG00000090142	9
ENSMUSG00000070175	2
ENSMUSG00000065559	0
ENSMUSG00000099906	72
ENSMUSG00000065480	0
ENSMUSG00000025929	19
ENSMUSG00000041872	53
ENSMUSG00000041859	230
ENSMUSG00000099714	10
ENSMUSG00000102121	35
ENSMUSG00000088858	14
ENSMUSG00000097934	6
ENSMUSG00000025931	102
ENSMUSG00000077314	0
ENSMUSG00000100929	12
ENSMUSG00000041809	82
ENSMUSG00000041779	201
ENSMUSG00000099971	3
ENSMUSG00000100819	28
ENSMUSG00000025933	72
ENSMUSG00000102633	31
ENSMUSG00000025934	105
ENSMUSG00000099343	12
ENSMUSG00000096375	2
ENSMUSG00000025936	40
ENSMUSG00000093963	9
ENSMUSG00000067750	29
ENSMUSG00000086194	10
ENSMUSG00000094436	7
ENSMUSG00000041722	19
ENSMUSG00000085507	8
ENSMUSG00000094926	8
ENSMUSG00000085079	49
ENSMUSG00000085679	5
ENSMUSG00000028033	171
ENSMUSG00000104138	32
ENSMUSG00000082935	54
ENSMUSG00000103748	11
ENSMUSG00000097109	16
ENSMUSG00000099692	5
ENSMUSG00000100418	4
ENSMUSG00000041670	191
ENSMUSG00000097642	24
ENSMUSG00000101468	41
ENSMUSG00000101227	31
ENSMUSG00000073730	9
ENSMUSG00000089553	1
ENSMUSG00000102766	7
ENSMUSG00000065405	0
ENSMUSG00000097970	17
ENSMUSG00000065567	0
ENSMUSG00000100775	3
ENSMUSG00000101226	13
ENSMUSG00000026158	596
ENSMUSG00000097920	48
ENSMUSG00000099503	11
ENSMUSG00000026156	334
ENSMUSG00000026155	501
ENSMUSG00000026154	75
ENSMUSG00000102495	14
ENSMUSG00000026153	264
ENSMUSG00000102398	10
ENSMUSG00000097670	28
ENSMUSG00000026147	235
ENSMUSG00000026141	753
ENSMUSG00000077463	12
ENSMUSG00000099997	13
ENSMUSG00000100131	159
ENSMUSG00000067736	42
ENSMUSG00000101939	22
ENSMUSG00000101111	667
ENSMUSG00000100862	641
ENSMUSG00000102070	499
ENSMUSG00000101249	286
ENSMUSG00000073725	313
ENSMUSG00000100808	10
ENSMUSG00000100483	38
ENSMUSG00000100450	6
ENSMUSG00000099392	23
ENSMUSG00000033569	221
ENSMUSG00000080849	14
ENSMUSG00000104257	5
ENSMUSG00000096866	3
ENSMUSG00000102296	10
ENSMUSG00000103209	22
ENSMUSG00000104027	49
ENSMUSG00000102407	30
ENSMUSG00000103214	38
ENSMUSG00000104100	50
ENSMUSG00000084740	1
ENSMUSG00000103889	23
ENSMUSG00000101301	21
ENSMUSG00000104221	26
ENSMUSG00000102250	28
ENSMUSG00000102317	53
ENSMUSG00000103563	20
ENSMUSG00000102465	79
ENSMUSG00000102659	40
ENSMUSG00000103924	32
ENSMUSG00000104132	35
ENSMUSG00000102747	22
ENSMUSG00000102386	14
ENSMUSG00000103004	10
ENSMUSG00000104516	2
ENSMUSG00000101618	4
ENSMUSG00000099458	5
ENSMUSG00000101524	31
ENSMUSG00000088111	0
ENSMUSG00000073722	255
ENSMUSG00000095256	5
ENSMUSG00000100310	9
ENSMUSG00000101514	38
ENSMUSG00000101033	13
ENSMUSG00000101372	41
ENSMUSG00000103241	6
ENSMUSG00000086240	12
ENSMUSG00000048411	54
ENSMUSG00000081557	29
ENSMUSG00000058590	5
ENSMUSG00000101235	8
ENSMUSG00000064433	0
ENSMUSG00000080625	1
ENSMUSG00000080391	1
ENSMUSG00000099257	1
ENSMUSG00000099492	41
ENSMUSG00000101726	18
ENSMUSG00000096829	5
ENSMUSG00000098883	2
ENSMUSG00000053185	24
ENSMUSG00000100261	16
ENSMUSG00000101180	5
ENSMUSG00000048874	506
ENSMUSG00000103783	39
ENSMUSG00000104315	37
ENSMUSG00000026064	290
ENSMUSG00000086151	17
ENSMUSG00000086726	18
ENSMUSG00000087346	5
ENSMUSG00000100371	28
ENSMUSG00000100237	10
ENSMUSG00000098529	2
ENSMUSG00000086727	35
ENSMUSG00000100910	60
ENSMUSG00000099796	48
ENSMUSG00000050217	43
ENSMUSG00000026063	14
ENSMUSG00000077664	3
ENSMUSG00000100205	8
ENSMUSG00000100592	2
ENSMUSG00000094215	15
ENSMUSG00000101093	11
ENSMUSG00000070960	24
ENSMUSG00000088620	0
ENSMUSG00000082159	22
ENSMUSG00000026058	147
ENSMUSG00000064688	0
ENSMUSG00000103482	2
ENSMUSG00000104498	2
ENSMUSG00000104313	13
ENSMUSG00000102865	14
ENSMUSG00000102321	21
ENSMUSG00000091318	43
ENSMUSG00000089489	2
ENSMUSG00000104433	39
ENSMUSG00000089395	1
ENSMUSG00000102926	65
ENSMUSG00000100497	18
ENSMUSG00000102917	1
ENSMUSG00000100481	34
ENSMUSG00000100590	25
ENSMUSG00000088750	5
ENSMUSG00000104230	23
ENSMUSG00000101754	13
ENSMUSG00000065223	0
ENSMUSG00000100318	21
ENSMUSG00000101612	40
ENSMUSG00000065260	2
ENSMUSG00000026134	170
ENSMUSG00000101682	3
ENSMUSG00000102714	58
ENSMUSG00000102093	11
ENSMUSG00000103746	5
ENSMUSG00000102198	22
ENSMUSG00000004768	149
ENSMUSG00000042215	34
ENSMUSG00000103072	2
ENSMUSG00000042197	588
ENSMUSG00000081402	35
ENSMUSG00000042182	66
ENSMUSG00000104416	32
ENSMUSG00000026131	521
ENSMUSG00000103888	0
ENSMUSG00000103596	35
ENSMUSG00000099382	8
ENSMUSG00000084506	1
ENSMUSG00000103364	35
ENSMUSG00000103405	0
ENSMUSG00000096992	282
ENSMUSG00000104475	89
ENSMUSG00000103001	157
ENSMUSG00000104397	12
ENSMUSG00000102839	0
ENSMUSG00000101206	53
ENSMUSG00000101462	39
ENSMUSG00000102336	263
ENSMUSG00000092852	0
ENSMUSG00000042111	66
ENSMUSG00000101711	39
ENSMUSG00000026127	235
ENSMUSG00000026126	135
ENSMUSG00000100280	40
ENSMUSG00000101223	51
ENSMUSG00000026125	27
ENSMUSG00000101116	5
ENSMUSG00000026124	21
ENSMUSG00000101803	0
ENSMUSG00000037529	68
ENSMUSG00000045815	2
ENSMUSG00000045174	35
ENSMUSG00000100524	14
ENSMUSG00000102499	3
ENSMUSG00000103521	39
ENSMUSG00000104098	4
ENSMUSG00000037509	208
ENSMUSG00000104492	0
ENSMUSG00000102537	0
ENSMUSG00000102612	0
ENSMUSG00000104002	39
ENSMUSG00000037503	821
ENSMUSG00000104358	80
ENSMUSG00000026123	340
ENSMUSG00000103716	7
ENSMUSG00000103548	9
ENSMUSG00000103760	7
ENSMUSG00000103997	12
ENSMUSG00000077231	4
ENSMUSG00000104417	30
ENSMUSG00000064601	1
ENSMUSG00000101714	4
ENSMUSG00000102531	25
ENSMUSG00000103096	34
ENSMUSG00000102279	16
ENSMUSG00000103708	67
ENSMUSG00000104201	14
ENSMUSG00000102434	16
ENSMUSG00000045216	386
ENSMUSG00000104523	72
ENSMUSG00000102202	63
ENSMUSG00000037470	868
ENSMUSG00000098752	0
ENSMUSG00000047180	71
ENSMUSG00000037447	619
ENSMUSG00000102762	6
ENSMUSG00000010453	563
ENSMUSG00000098680	4
ENSMUSG00000037432	196
ENSMUSG00000001143	278
ENSMUSG00000037408	104
ENSMUSG00000104316	22
ENSMUSG00000001138	141
ENSMUSG00000102845	2
ENSMUSG00000067653	10
ENSMUSG00000103661	0
ENSMUSG00000079610	47
ENSMUSG00000026121	927
ENSMUSG00000087589	114
ENSMUSG00000046337	140
ENSMUSG00000089906	10
ENSMUSG00000077939	1
ENSMUSG00000061518	330
ENSMUSG00000037351	314
ENSMUSG00000102416	29
ENSMUSG00000104237	36
ENSMUSG00000026117	24
ENSMUSG00000097291	16
ENSMUSG00000026116	569
ENSMUSG00000103016	15
ENSMUSG00000102930	37
ENSMUSG00000103159	87
ENSMUSG00000080054	5
ENSMUSG00000095944	4
ENSMUSG00000050122	182
ENSMUSG00000103603	2
ENSMUSG00000026114	102
ENSMUSG00000102231	0
ENSMUSG00000026113	322
ENSMUSG00000086064	31
ENSMUSG00000102879	24
ENSMUSG00000026112	433
ENSMUSG00000026111	148
ENSMUSG00000026110	465
ENSMUSG00000103948	19
ENSMUSG00000087233	2
ENSMUSG00000026090	350
ENSMUSG00000089767	6
ENSMUSG00000104365	42
ENSMUSG00000102650	53
ENSMUSG00000060771	138
ENSMUSG00000097268	10
ENSMUSG00000037216	36
ENSMUSG00000026088	74
ENSMUSG00000026087	171
ENSMUSG00000061584	108
ENSMUSG00000087374	56
ENSMUSG00000026085	27
ENSMUSG00000089141	2
ENSMUSG00000058407	242
ENSMUSG00000026083	704
ENSMUSG00000026082	241
ENSMUSG00000103804	18
ENSMUSG00000102716	61
ENSMUSG00000037138	124
ENSMUSG00000085391	30
ENSMUSG00000085280	23
ENSMUSG00000087131	39
ENSMUSG00000102984	3
ENSMUSG00000102541	11
ENSMUSG00000103531	38
ENSMUSG00000048814	135
ENSMUSG00000026080	145
ENSMUSG00000103647	4
ENSMUSG00000102447	32
ENSMUSG00000067604	79
ENSMUSG00000026078	166
ENSMUSG00000103046	16
ENSMUSG00000104188	52
ENSMUSG00000103182	25
ENSMUSG00000098833	1
ENSMUSG00000026077	435
ENSMUSG00000092553	27
ENSMUSG00000092563	18
ENSMUSG00000073702	1442
ENSMUSG00000003134	693
ENSMUSG00000102607	43
ENSMUSG00000065629	4
ENSMUSG00000003135	142
ENSMUSG00000085894	29
ENSMUSG00000077704	8
ENSMUSG00000048234	147
ENSMUSG00000064936	0
ENSMUSG00000102471	5
ENSMUSG00000050967	79
ENSMUSG00000097083	31
ENSMUSG00000057173	102
ENSMUSG00000091937	10
