ensembl_gene_id	count
ENSMUSG00000102693	22
ENSMUSG00000064842	5
ENSMUSG00000051951	800
ENSMUSG00000102851	3
ENSMUSG00000103377	40
ENSMUSG00000104017	20
ENSMUSG00000103025	27
ENSMUSG00000089699	13
ENSMUSG00000103201	42
ENSMUSG00000103147	10
ENSMUSG00000103161	35
ENSMUSG00000102331	177
ENSMUSG00000102348	7
ENSMUSG00000102592	3
ENSMUSG00000088333	0
ENSMUSG00000102343	11
ENSMUSG00000102948	21
ENSMUSG00000025900	76
ENSMUSG00000104123	26
ENSMUSG00000025902	4
ENSMUSG00000104238	3
ENSMUSG00000102269	14
ENSMUSG00000096126	7
ENSMUSG00000103003	1
ENSMUSG00000104328	18
ENSMUSG00000102735	24
ENSMUSG00000098104	23
ENSMUSG00000102175	3
ENSMUSG00000088000	0
ENSMUSG00000103265	11
ENSMUSG00000103922	19
ENSMUSG00000033845	1098
ENSMUSG00000102275	15
ENSMUSG00000025903	1567
ENSMUSG00000104217	3
ENSMUSG00000033813	2094
ENSMUSG00000062588	54
ENSMUSG00000103280	128
ENSMUSG00000002459	812
ENSMUSG00000091305	5
ENSMUSG00000102653	46
ENSMUSG00000085623	66
ENSMUSG00000091665	16
ENSMUSG00000033793	4261
ENSMUSG00000104352	14
ENSMUSG00000104046	23
ENSMUSG00000102907	23
ENSMUSG00000025905	64
ENSMUSG00000103936	6
ENSMUSG00000093015	8
ENSMUSG00000103519	21
ENSMUSG00000033774	120
ENSMUSG00000103090	13
ENSMUSG00000025907	2441
ENSMUSG00000090031	167
ENSMUSG00000087247	4
ENSMUSG00000103355	1
ENSMUSG00000102706	0
ENSMUSG00000103845	519
ENSMUSG00000033740	1144
ENSMUSG00000103329	24
ENSMUSG00000104385	14
ENSMUSG00000102135	6
ENSMUSG00000103282	0
ENSMUSG00000102534	3
ENSMUSG00000102213	0
ENSMUSG00000103629	1
ENSMUSG00000051285	2902
ENSMUSG00000098201	10
ENSMUSG00000103509	174
ENSMUSG00000048538	22
ENSMUSG00000103709	5
ENSMUSG00000077244	0
ENSMUSG00000102768	5
ENSMUSG00000097797	41
ENSMUSG00000103498	6
ENSMUSG00000103067	56
ENSMUSG00000102320	10
ENSMUSG00000104226	18
ENSMUSG00000103903	1
ENSMUSG00000103557	11
ENSMUSG00000025909	216
ENSMUSG00000102647	9
ENSMUSG00000086235	2
ENSMUSG00000102253	49
ENSMUSG00000093970	2
ENSMUSG00000103884	1
ENSMUSG00000084353	35
ENSMUSG00000103933	1
ENSMUSG00000076135	0
ENSMUSG00000086195	2
ENSMUSG00000104504	4
ENSMUSG00000066693	17
ENSMUSG00000102316	16
ENSMUSG00000103819	13
ENSMUSG00000102871	14
ENSMUSG00000101571	7
ENSMUSG00000104428	12
ENSMUSG00000102272	9
ENSMUSG00000065625	0
ENSMUSG00000103411	19
ENSMUSG00000061024	855
ENSMUSG00000025911	163
ENSMUSG00000079671	147
ENSMUSG00000081441	5
ENSMUSG00000067879	117
ENSMUSG00000099827	18
ENSMUSG00000025912	350
ENSMUSG00000045210	1901
ENSMUSG00000097893	180
ENSMUSG00000025915	2239
ENSMUSG00000046334	30
ENSMUSG00000088916	0
ENSMUSG00000046101	95
ENSMUSG00000098234	292
ENSMUSG00000093178	2
ENSMUSG00000099032	227
ENSMUSG00000104025	15
ENSMUSG00000025916	67
ENSMUSG00000087199	13
ENSMUSG00000095780	2
ENSMUSG00000025917	2263
ENSMUSG00000056763	2038
ENSMUSG00000102356	10
ENSMUSG00000102638	42
ENSMUSG00000067851	8223
ENSMUSG00000088153	9
ENSMUSG00000102556	27
ENSMUSG00000042501	144
ENSMUSG00000103810	30
ENSMUSG00000083422	10
ENSMUSG00000094979	0
ENSMUSG00000081417	0
ENSMUSG00000103448	9
ENSMUSG00000100212	15
ENSMUSG00000100648	33
ENSMUSG00000088585	0
ENSMUSG00000048960	307
ENSMUSG00000077318	0
ENSMUSG00000101827	9
ENSMUSG00000103494	16
ENSMUSG00000057715	318
ENSMUSG00000103825	6
ENSMUSG00000099845	5
ENSMUSG00000103561	11
ENSMUSG00000101610	8
ENSMUSG00000093864	2
ENSMUSG00000098555	1
ENSMUSG00000097628	12
ENSMUSG00000098163	7
ENSMUSG00000097171	1
ENSMUSG00000101314	2
ENSMUSG00000016918	951
ENSMUSG00000025938	6711
ENSMUSG00000104518	3
ENSMUSG00000069620	12
ENSMUSG00000099498	14
ENSMUSG00000042414	237
ENSMUSG00000005886	4372
ENSMUSG00000103506	37
ENSMUSG00000103495	33
ENSMUSG00000099183	5
ENSMUSG00000102639	5
ENSMUSG00000104170	21
ENSMUSG00000087782	0
ENSMUSG00000103085	104
ENSMUSG00000102664	43
ENSMUSG00000101476	7
ENSMUSG00000101171	26
ENSMUSG00000025935	2651
ENSMUSG00000025937	743
ENSMUSG00000102982	42
ENSMUSG00000067813	369
ENSMUSG00000077368	0
ENSMUSG00000097711	21
ENSMUSG00000102166	324
ENSMUSG00000089358	3
ENSMUSG00000104209	12
ENSMUSG00000025932	4566
ENSMUSG00000095853	0
ENSMUSG00000102588	15
ENSMUSG00000054493	263
ENSMUSG00000025930	2754
ENSMUSG00000103492	39
ENSMUSG00000081201	2
ENSMUSG00000082193	18
ENSMUSG00000032769	395
ENSMUSG00000088159	0
ENSMUSG00000073737	3
ENSMUSG00000092083	291
ENSMUSG00000102937	21
ENSMUSG00000104149	12
ENSMUSG00000088829	0
ENSMUSG00000077377	0
ENSMUSG00000101652	1
ENSMUSG00000100814	0
ENSMUSG00000025925	450
ENSMUSG00000104379	40
ENSMUSG00000032719	49
ENSMUSG00000088943	11
ENSMUSG00000100652	14
ENSMUSG00000067795	121
ENSMUSG00000043716	18874
ENSMUSG00000025921	1546
ENSMUSG00000104165	11
ENSMUSG00000100868	28
ENSMUSG00000025920	1868
ENSMUSG00000089982	20
ENSMUSG00000025939	1204
ENSMUSG00000102457	37
ENSMUSG00000079658	2606
ENSMUSG00000097744	33
ENSMUSG00000100959	4
ENSMUSG00000025940	1639
ENSMUSG00000025779	166
ENSMUSG00000100093	2
ENSMUSG00000091020	56
ENSMUSG00000101640	9
ENSMUSG00000104133	8
ENSMUSG00000042686	4025
ENSMUSG00000100110	16
ENSMUSG00000025777	329
ENSMUSG00000099899	15
ENSMUSG00000100272	2
ENSMUSG00000100398	3
ENSMUSG00000101589	79
ENSMUSG00000102048	1
ENSMUSG00000089534	0
ENSMUSG00000067780	104
ENSMUSG00000100053	39
ENSMUSG00000085125	64
ENSMUSG00000025776	170
ENSMUSG00000099895	12
ENSMUSG00000100554	15
ENSMUSG00000099473	17
ENSMUSG00000099591	11
ENSMUSG00000102001	1
ENSMUSG00000101717	8
ENSMUSG00000025774	40
ENSMUSG00000070977	0
ENSMUSG00000073735	5
ENSMUSG00000067773	13
ENSMUSG00000101685	16
ENSMUSG00000101738	1
ENSMUSG00000101306	6
ENSMUSG00000088800	2
ENSMUSG00000101644	17
ENSMUSG00000099433	8
ENSMUSG00000089787	21
ENSMUSG00000042596	56
ENSMUSG00000100720	12
ENSMUSG00000025927	4149
ENSMUSG00000100538	2
ENSMUSG00000101117	3
ENSMUSG00000100204	60
ENSMUSG00000084668	0
ENSMUSG00000102597	21
ENSMUSG00000077860	0
ENSMUSG00000043760	563
ENSMUSG00000104095	19
ENSMUSG00000089914	15
ENSMUSG00000090142	8
ENSMUSG00000070175	7
ENSMUSG00000065559	0
ENSMUSG00000099906	32
ENSMUSG00000065480	0
ENSMUSG00000025929	37
ENSMUSG00000041872	26
ENSMUSG00000041859	765
ENSMUSG00000099714	12
ENSMUSG00000102121	15
ENSMUSG00000088858	2
ENSMUSG00000097934	3
ENSMUSG00000025931	415
ENSMUSG00000077314	0
ENSMUSG00000100929	4
ENSMUSG00000041809	245
ENSMUSG00000041779	263
ENSMUSG00000099971	7
ENSMUSG00000100819	16
ENSMUSG00000025933	312
ENSMUSG00000102633	11
ENSMUSG00000025934	696
ENSMUSG00000099343	19
ENSMUSG00000096375	1
ENSMUSG00000025936	48
ENSMUSG00000093963	19
ENSMUSG00000067750	290
ENSMUSG00000086194	29
ENSMUSG00000094436	7
ENSMUSG00000041722	92
ENSMUSG00000085507	13
ENSMUSG00000094926	5
ENSMUSG00000085079	161
ENSMUSG00000085679	1
ENSMUSG00000028033	187
ENSMUSG00000104138	35
ENSMUSG00000082935	319
ENSMUSG00000103748	19
ENSMUSG00000097109	8
ENSMUSG00000099692	3
ENSMUSG00000100418	0
ENSMUSG00000041670	365
ENSMUSG00000097642	18
ENSMUSG00000101468	11
ENSMUSG00000101227	11
ENSMUSG00000073730	14
ENSMUSG00000089553	6
ENSMUSG00000102766	7
ENSMUSG00000065405	0
ENSMUSG00000097970	83
ENSMUSG00000065567	0
ENSMUSG00000100775	23
ENSMUSG00000101226	5
ENSMUSG00000026158	4408
ENSMUSG00000097920	29
ENSMUSG00000099503	22
ENSMUSG00000026156	257
ENSMUSG00000026155	4317
ENSMUSG00000026154	434
ENSMUSG00000102495	7
ENSMUSG00000026153	2488
ENSMUSG00000102398	5
ENSMUSG00000097670	4
ENSMUSG00000026147	589
ENSMUSG00000026141	690
ENSMUSG00000077463	3
ENSMUSG00000099997	15
ENSMUSG00000100131	922
ENSMUSG00000067736	162
ENSMUSG00000101939	397
ENSMUSG00000101111	5024
ENSMUSG00000100862	3009
ENSMUSG00000102070	2009
ENSMUSG00000101249	866
ENSMUSG00000073725	2538
ENSMUSG00000100808	14
ENSMUSG00000100483	24
ENSMUSG00000100450	14
ENSMUSG00000099392	11
ENSMUSG00000033569	242
ENSMUSG00000080849	0
ENSMUSG00000104257	4
ENSMUSG00000096866	0
ENSMUSG00000102296	17
ENSMUSG00000103209	17
ENSMUSG00000104027	34
ENSMUSG00000102407	27
ENSMUSG00000103214	15
ENSMUSG00000104100	39
ENSMUSG00000084740	0
ENSMUSG00000103889	32
ENSMUSG00000101301	2
ENSMUSG00000104221	15
ENSMUSG00000102250	31
ENSMUSG00000102317	60
ENSMUSG00000103563	26
ENSMUSG00000102465	78
ENSMUSG00000102659	46
ENSMUSG00000103924	22
ENSMUSG00000104132	46
ENSMUSG00000102747	15
ENSMUSG00000102386	10
ENSMUSG00000103004	16
ENSMUSG00000104516	18
ENSMUSG00000101618	2
ENSMUSG00000099458	11
ENSMUSG00000101524	17
ENSMUSG00000088111	0
ENSMUSG00000073722	571
ENSMUSG00000095256	0
ENSMUSG00000100310	4
ENSMUSG00000101514	26
ENSMUSG00000101033	17
ENSMUSG00000101372	30
ENSMUSG00000103241	5
ENSMUSG00000086240	23
ENSMUSG00000048411	26
ENSMUSG00000081557	34
ENSMUSG00000058590	5
ENSMUSG00000101235	12
ENSMUSG00000064433	2
ENSMUSG00000080625	0
ENSMUSG00000080391	0
ENSMUSG00000099257	0
ENSMUSG00000099492	73
